파일명,OCR필요,PDF유형,신뢰도,전체페이지,텍스트페이지,이미지페이지,Producer,Producer유형,스캔점수,평균텍스트
28691_2024하합100779 자산환가포기공고.pdf,False,mixed,0.70,2,1,2,"NesPDF",document_software,5,84
29008_창원지방법원 2024하단10459 파산재단자산(주식) 매각 공고문 및 입찰서.pdf,False,text,0.90,8,8,0,"",unknown,5,732
28732_2025하합180 자산(노트북 등) 매각 공고.pdf,False,text,0.80,10,10,2,"Microsoft® Word 2019",document_software,5,683
28726_2025하합252 유형자산매각공고.pdf,False,text,0.80,7,7,2,"Hancom PDF 1.3.0.550",document_software,5,620
28708_2025하합164 자산 매각 공고(제품 및 기계장치).pdf,False,text,0.90,10,10,0,"Microsoft: Print To PDF",document_software,5,621
28629_인천지방법원 2024하합86 지식재산권 매각공고(안) 등.pdf,False,mixed,0.70,18,12,9,"",unknown,20,312
28817_의정부지방법원 2024하합1122 유형자산 매각 및 포기공고.pdf,True,scanned,0.90,34,0,34,"",unknown,95,0
28572_2024하합101227 게임저작물 등 일괄공개매각공고2.pdf,False,text,0.90,8,8,0,"Hancom PDF 1.3.0.538",document_software,5,726
28842_2025하합382 기계장치 매각공고.pdf,True,scanned,0.90,11,0,11,"SINDOH D420",scanner,100,0
28784_2025하합245  자산포기안내서.pdf,False,text,0.90,2,2,0,"Hancom PDF 1.3.0.538",document_software,5,751
28768_인천지방법원 2024하합70 지적재산권 매각 공고등 신청서.pdf,False,text,0.90,6,6,0,"",unknown,5,514
28695_(주)파인테이블 - 특허권 매각 공고문.pdf,False,mixed,0.70,8,5,3,"Hancom PDF 1.3.0.538",document_software,5,423
28944_2025하합247 자산 매각 공고.pdf,False,text,0.80,9,7,3,"Microsoft: Print To PDF",document_software,5,632
28666_2025하합300 자산 매각 공고(비품 및 제품).pdf,False,text,0.90,10,10,0,"itext-paulo-155 (itextpdf.sf.net-lowagie.com)",document_software,5,1753
